edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
159,447,15630,116.4556238,39.9043335,116.4556592,39.9058768,116.4556415,39.90510515
160,15630,448,116.4556592,39.9058768,116.4557456,39.9080962,116.4557024,39.9069865
161,448,25424,116.4557456,39.9080962,116.455792,39.9095611,116.4557688,39.908828650000004
162,25424,20504,116.455792,39.9095611,116.4557925,39.9108412,116.45579225,39.91020115
163,455,60481,116.4588882,39.9070945,116.4568927,39.9070926,116.45789045000001,39.90709355
164,60481,454,116.4568927,39.9070926,116.455852,39.9070899,116.45637235,39.90709125
165,454,60480,116.455852,39.9070899,116.4553271,39.9070991,116.45558955,39.9070945
166,60480,459,116.4553271,39.9070991,116.4542214,39.9071109,116.45477425,39.907105
167,459,456,116.4542214,39.9071109,116.452375,39.907103,116.4532982,39.90710695
168,464,20384,116.4557809,39.913182,116.4556455,39.9149901,116.45571319999999,39.914086049999995
169,5,6960,116.3855782,39.9019869,116.3879786,39.9014518,116.3867784,39.90171934999999
170,6960,5,116.3879786,39.9014518,116.3855782,39.9019869,116.3867784,39.90171934999999
171,6960,27060,116.3879786,39.9014518,116.3896516,39.9015069,116.38881509999999,39.90147935
172,27060,6960,116.3896516,39.9015069,116.3879786,39.9014518,116.38881509999999,39.90147935
173,5423,5968,116.3680709,39.9026639,116.3682295,39.9026693,116.3681502,39.9026666
174,5968,574,116.3682295,39.9026693,116.3702435,39.9027581,116.3692365,39.9027137
175,229,615,116.4467117,39.9220574,116.448951,39.9219866,116.44783135,39.922022
176,17340,17337,116.4493532,39.955605,116.4498364,39.9551376,116.4495948,39.955371299999996
177,17337,42040,116.4498364,39.9551376,116.4510515,39.9543117,116.45044395,39.95472465
178,42040,27610,116.4510515,39.9543117,116.4525771,39.9533057,116.4518143,39.953808699999996
179,27610,530,116.4525771,39.9533057,116.453234,39.9528726,116.45290555,39.95308915
180,530,17330,116.453234,39.9528726,116.4542385,39.9521294,116.45373624999999,39.952501
181,17330,17329,116.4542385,39.9521294,116.4552275,39.9505413,116.454733,39.951335349999994
182,470,13797,116.3523304,39.943008,116.3547704,39.9436983,116.3535504,39.94335315
183,13797,19695,116.3547704,39.9436983,116.3554314,39.9438762,116.3551009,39.94378725
184,9783,9817,116.350102,39.9434971,116.3502173,39.9436023,116.35015965,39.943549700000005
185,9817,9779,116.3502173,39.9436023,116.3503612,39.9439618,116.35028925,39.943782049999996
186,36,9783,116.3493741,39.9402687,116.350102,39.9434971,116.34973805000001,39.941882899999996
187,15638,20543,116.4517539,39.9069681,116.452353,39.9068141,116.45205345,39.906891099999996
188,487,5334,116.3470102,39.8968796,116.3506817,39.9002866,116.34884595,39.898583099999996
189,31,12593,116.3285085,39.9169027,116.3332298,39.9169742,116.33086915,39.91693845
190,12593,31,116.3332298,39.9169742,116.3285085,39.9169027,116.33086915,39.91693845
191,12593,12535,116.3332298,39.9169742,116.3360628,39.9170168,116.3346463,39.9169955
192,12535,12593,116.3360628,39.9170168,116.3332298,39.9169742,116.3346463,39.9169955
193,12535,3744,116.3360628,39.9170168,116.3386791,39.9170469,116.33737095,39.91703185
194,3744,12535,116.3386791,39.9170469,116.3360628,39.9170168,116.33737095,39.91703185
195,3744,32,116.3386791,39.9170469,116.3388295,39.9170486,116.3387543,39.91704775
196,32,3744,116.3388295,39.9170486,116.3386791,39.9170469,116.3387543,39.91704775
197,137,26789,116.4108863,39.9321558,116.4109767,39.932159,116.4109315,39.932157399999994
198,5339,13972,116.4378794,39.8923179,116.4380512,39.8911029,116.4379653,39.8917104
199,13972,5144,116.4380512,39.8911029,116.4388972,39.8846005,116.4384742,39.8878517
200,3134,25707,116.4584303,39.9525536,116.4620679,39.9525727,116.4602491,39.95256315
201,25707,3134,116.4620679,39.9525727,116.4584303,39.9525536,116.4602491,39.95256315
202,546,4037,116.4279434,39.9233799,116.427783,39.9233619,116.4278632,39.9233709
203,4037,547,116.427783,39.9233619,116.4276729,39.9232484,116.42772795,39.923305150000004
204,547,19356,116.4276729,39.9232484,116.4275999,39.9231225,116.42763640000001,39.92318545
205,3915,47894,116.4281058,39.9412205,116.4278308,39.9417803,116.4279683,39.941500399999995
206,47894,3906,116.4278308,39.9417803,116.4277396,39.9419448,116.42778519999999,39.941862549999996
207,3589,3590,116.4692817,39.9068711,116.4747834,39.9068514,116.47203255,39.90686125
208,3073,3062,116.631665,39.903076,116.6235003,39.905427,116.62758265,39.9042515
209,3062,8745,116.6235003,39.905427,116.6178278,39.9054445,116.62066405,39.90543575
210,17327,17326,116.4384187,39.9500699,116.4384644,39.9499856,116.43844155,39.950027750000004
211,10661,1257,116.4003384,39.9170117,116.4008014,39.9169658,116.4005699,39.91698875
212,1257,10661,116.4008014,39.9169658,116.4003384,39.9170117,116.4005699,39.91698875
213,1257,4238,116.4008014,39.9169658,116.4026837,39.9170426,116.40174255,39.9170042
214,4238,1257,116.4026837,39.9170426,116.4008014,39.9169658,116.40174255,39.9170042
215,4238,10858,116.4026837,39.9170426,116.4028557,39.9170491,116.4027697,39.91704585
216,10858,4238,116.4028557,39.9170491,116.4026837,39.9170426,116.4027697,39.91704585
217,10858,10738,116.4028557,39.9170491,116.4036923,39.9170837,116.40327400000001,39.917066399999996
218,10738,10858,116.4036923,39.9170837,116.4028557,39.9170491,116.40327400000001,39.917066399999996
219,10738,77,116.4036923,39.9170837,116.4047536,39.9171376,116.40422295,39.91711065
220,77,10738,116.4047536,39.9171376,116.4036923,39.9170837,116.40422295,39.91711065
221,1259,10760,116.4010405,39.9116304,116.4019383,39.9116616,116.4014894,39.911646000000005
222,10760,1259,116.4019383,39.9116616,116.4010405,39.9116304,116.4014894,39.911646000000005
223,10760,1284,116.4019383,39.9116616,116.402852,39.9116905,116.40239514999999,39.91167605
224,1284,10760,116.402852,39.9116905,116.4019383,39.9116616,116.40239514999999,39.91167605
225,1284,37479,116.402852,39.9116905,116.4050757,39.9117884,116.40396385,39.91173945
226,37479,1284,116.4050757,39.9117884,116.402852,39.9116905,116.40396385,39.91173945
227,1100,7013,116.4552998,39.9400332,116.4525729,39.9399948,116.45393635,39.940014000000005
228,7013,184,116.4525729,39.9399948,116.449288,39.9399723,116.45093045,39.93998355
229,25898,13594,116.4375641,39.9322845,116.4441332,39.9322814,116.44084864999999,39.93228295
230,193,37476,116.4610619,39.9324533,116.4610212,39.933674,116.46104155,39.93306365
231,1338,21016,116.5111407,39.9486937,116.5110442,39.9461845,116.51109245,39.9474391
232,21016,21010,116.5110442,39.9461845,116.5111061,39.9433669,116.51107515000001,39.9447757
233,21010,58625,116.5111061,39.9433669,116.5111598,39.9415378,116.51113295,39.942452349999996
234,58625,20985,116.5111598,39.9415378,116.5112286,39.9391939,116.5111942,39.94036585
235,577,30373,116.3676249,39.9133382,116.3678022,39.913332,116.36771354999999,39.9133351
236,30373,577,116.3678022,39.913332,116.3676249,39.9133382,116.36771354999999,39.9133351
237,30373,11014,116.3678022,39.913332,116.3692305,39.913295,116.36851635,39.9133135
238,11014,30373,116.3692305,39.913295,116.3678022,39.913332,116.36851635,39.9133135
239,11014,594,116.3692305,39.913295,116.3715346,39.913177,116.37038255,39.913236
